card_number,customer_id,billing_address,expiry_month,expiry_year
2357989664035970,899341,"1600 Montclair Rd, Birmingham, AL, 35210",1,2028
6514444456422615,807336,"42 Fairhaven Commons Way, Fairhaven, MA, 2719",2,2024
4783285282644966,280203,"41301 US Hwy 280, Sylacauga, AL, 35150",2,2024
4856219198796388,472951,"890 Odum Road, Gardendale, AL, 35071",1,2027
4138516674901188,989381,"2041 Douglas Avenue, Brewton, AL, 36426",8,2028
6617578213941632,369251,"24833 Johnt Reidprkw, Scottsboro, AL, 35768",9,2027
2264287067852725,852975,"165 Vaughan Ln, Pell City, AL, 35125",3,2025
9310609556179905,297857,"70 Pleasant Valley Street, Methuen, MA, 1844",9,2026
8507145973158148,685032,"164 Danbury Rd, New Milford, CT, 6776",1,2027
3969918163854422,777598,"11697 US Hwy 431, Guntersville, AL, 35976",6,2026
2911755530939231,956995,"1300 Gilmer Ave, Tallassee, AL, 36078",10,2027
5786220461011373,663494,"3801 Eastern Blvd, Montgomery, AL, 36116",2,2026
8794793625669238,294197,"2181 Pelham Pkwy, Pelham, AL, 35124",12,2027
8249268753392078,467561,"540 West Bypass, Andalusia, AL, 36420",12,2028
7752776288323142,570959,"6140A Univ Drive, Huntsville, AL, 35806",4,2029
1438690625098219,525285,"5335 Hwy 280 South, Hoover, AL, 35242",9,2027
6262779353078561,424406,"7855 Moffett Rd, Semmes, AL, 36575",12,2027
7199695946882302,467561,"540 West Bypass, Andalusia, AL, 36420",1,2029
7326955847885128,126064,"100 Charlton Road, Sturbridge, MA, 1566",4,2027
8272720241126502,190194,"10401 Bennett Road, Fredonia, NY, 14063",7,2028
4563267351524847,610746,"5033 Transit Road, Clarence, NY, 14031",9,2027
9558546925625608,111176,"625 School Street, Putnam, CT, 6260",1,2026
9425148165456190,297857,"70 Pleasant Valley Street, Methuen, MA, 1844",11,2024
8078741338612246,884910,"233 5th Ave Ext, Johnstown, NY, 12095",11,2025
8305227245534911,294197,"2181 Pelham Pkwy, Pelham, AL, 35124",12,2027
5530243156278837,570959,"6140A Univ Drive, Huntsville, AL, 35806",2,2026
4420992597929113,319172,"209 Lakeshore Parkway, Homewood, AL, 35209",3,2027
5957503214488189,731585,"1007 Red Farmer Drive, Hueytown, AL, 35023",1,2025
6515877173529788,185266,"301 Falls Blvd, Quincy, MA, 2169",6,2026
9360282793597064,804227,"3300 South Oates Street, Dothan, AL, 36301",8,2027
6570816343699734,425503,"973 Gilbert Ferry Road Se, Attalla, AL, 35954",6,2025
5991442184763804,223825,"3100 Hough Rd, Florence, AL, 35630",2,2025
4663316870596778,477599,"777 Brockton Avenue, Abington, MA, 2351",8,2026
6429768431081910,481436,"1608 W Magnolia Ave, Geneva, AL, 36340",6,2028
2017719778149950,462488,"10675 Hwy 5, Brent, AL, 35034",6,2027
5160842765293274,113972,"3176 South Eufaula Avenue, Eufaula, AL, 36027",5,2026
3440333050154988,198248,"1916 Center Point Rd, Center Point, AL, 35215",9,2026
8069532141317493,443640,"3018 East Ave, Central Square, NY, 13036",3,2028
4139787094362923,807336,"42 Fairhaven Commons Way, Fairhaven, MA, 2719",11,2026
9162346566544891,884910,"233 5th Ave Ext, Johnstown, NY, 12095",11,2024
7377550396887953,539977,"101 South Beltline Highway, Mobile, AL, 36606",4,2028
6785630962473002,610746,"5033 Transit Road, Clarence, NY, 14031",2,2027
6770380321203012,510028,"550 Providence Hwy, Walpole, MA, 2081",11,2024
5978844911394565,968675,"700 Oak Street, Brockton, MA, 2301",1,2027
9138848766754521,299649,"72 Main St, North Reading, MA, 1864",5,2024
8177553311834063,155199,"1400 Farmington Ave, Bristol, CT, 6010",11,2028
3810478322077703,235264,"11 Jungle Road, Leominster, MA, 1453",6,2025
1355172882749593,685032,"164 Danbury Rd, New Milford, CT, 6776",1,2025
7633798520792990,111736,"517 West Avalon Ave, Muscle Shoals, AL, 35661",8,2027
2992812722789771,807336,"42 Fairhaven Commons Way, Fairhaven, MA, 2719",6,2029
8870278073995151,111176,"625 School Street, Putnam, CT, 6260",6,2029
2830192232255423,132192,"6265 Brockport Spencerport Rd, Brockport, NY, 14420",9,2028
8341526345827396,425503,"973 Gilbert Ferry Road Se, Attalla, AL, 35954",12,2029
2077238977984862,462488,"10675 Hwy 5, Brent, AL, 35034",12,2026
5674325258053288,715915,"1801 Hwy 78 East, Jasper, AL, 35501",3,2024
8138623570626142,800914,"844 No Colony Road, Wallingford, CT, 6492",5,2026
6835613389356988,113972,"3176 South Eufaula Avenue, Eufaula, AL, 36027",1,2028
6893143865163207,525285,"5335 Hwy 280 South, Hoover, AL, 35242",10,2024
1235865691642644,741841,"1818 State Route 3, Fulton, NY, 13069",5,2029
7725357656263317,731585,"1007 Red Farmer Drive, Hueytown, AL, 35023",10,2026
3007208341979770,111736,"517 West Avalon Ave, Muscle Shoals, AL, 35661",9,2026
1481253621787547,741841,"1818 State Route 3, Fulton, NY, 13069",9,2024
5592824457015100,777598,"11697 US Hwy 431, Guntersville, AL, 35976",1,2027
7908836520862481,800914,"844 No Colony Road, Wallingford, CT, 6492",4,2027
1608197037057137,800914,"844 No Colony Road, Wallingford, CT, 6492",10,2024
5993566034426277,190194,"10401 Bennett Road, Fredonia, NY, 14063",6,2028
5206597993834538,111736,"517 West Avalon Ave, Muscle Shoals, AL, 35661",12,2024
7811451176646960,144657,"1000 State Route 36, Hornell, NY, 14843",3,2027
1817854396604802,710936,"591 Memorial Dr, Chicopee, MA, 1020",2,2029
4092860473633393,984747,"250 Hartford Avenue, Bellingham, MA, 2019",8,2024
8797776176231806,956995,"1300 Gilmer Ave, Tallassee, AL, 36078",3,2029
4562266575781931,465540,"141 Washington Ave Extension, Albany, NY, 12205",2,2026
